"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2019","58,766.59","58,776.34","58,857.09","58,427.41","-","-0.01%"
"May 09, 2019","58,775.36","58,912.20","59,051.24","58,576.66","-","-0.34%"
"May 08, 2019","58,977.83","58,717.92","59,229.70","58,717.92","-","0.52%"
"May 07, 2019","58,670.54","58,554.01","58,724.80","58,302.51","-","0.01%"
"May 06, 2019","58,665.43","58,242.93","58,668.04","57,920.05","-","0.15%"
"May 03, 2019","58,578.61","58,919.08","59,070.45","58,544.99","-","-0.25%"
"May 02, 2019","58,722.86","58,627.78","58,765.42","58,272.20","-","-0.02%"
"Apr 30, 2019","58,734.74","58,494.91","58,734.74","58,017.75","-","0.65%"
"Apr 29, 2019","58,355.74","58,256.21","58,508.19","58,028.28","-","0.33%"
"Apr 26, 2019","58,161.63","58,127.66","58,326.69","57,934.00","-","0.19%"
"Apr 25, 2019","58,051.53","57,597.46","58,178.00","57,505.60","-","0.85%"
"Apr 24, 2019","57,561.44","58,134.89","58,146.47","57,241.53","-","-0.96%"
"Apr 23, 2019","58,118.42","57,621.83","58,125.01","57,481.88","-","1.18%"
"Apr 22, 2019","57,440.66","57,143.46","57,533.69","56,964.46","-","0.53%"
"Apr 18, 2019","57,136.95","56,524.00","57,304.86","56,448.65","-","1.31%"
"Apr 17, 2019","56,396.64","56,731.74","56,871.84","55,925.02","-","-0.30%"
"Apr 16, 2019","56,564.10","56,421.02","56,860.66","56,288.42","-","0.33%"
"Apr 15, 2019","56,377.12","56,258.13","56,591.85","56,167.29","-","0.54%"
"Apr 12, 2019","56,073.25","56,707.25","56,853.46","55,898.67","-","-1.47%"
"Apr 11, 2019","56,907.13","57,557.55","57,557.55","56,783.29","-","-1.41%"
"Apr 10, 2019","57,719.07","57,939.80","58,138.37","57,538.70","-","-0.17%"
"Apr 09, 2019","57,818.60","58,340.82","58,340.82","57,559.07","-","-1.14%"
"Apr 08, 2019","58,483.54","58,678.44","58,976.54","58,353.90","-","0.15%"
"Apr 05, 2019","58,395.16","57,883.85","58,569.42","57,868.47","-","1.10%"
"Apr 04, 2019","57,761.94","57,658.14","58,025.35","57,548.55","-","0.53%"
"Apr 03, 2019","57,456.81","57,796.15","58,103.66","57,314.58","-","-0.36%"
"Apr 02, 2019","57,663.80","58,086.00","58,211.51","57,578.05","-","-0.51%"
"Apr 01, 2019","57,960.03","57,548.53","58,117.33","57,492.19","-","0.89%"
"Mar 29, 2019","57,449.26","57,320.02","57,837.47","57,160.52","-","0.66%"
"Mar 28, 2019","57,072.40","55,928.99","57,249.35","55,823.81","-","1.95%"
"Mar 27, 2019","55,980.90","57,599.14","57,599.14","55,956.09","-","-3.23%"
"Mar 26, 2019","57,850.01","57,270.97","57,850.01","57,098.02","-","1.36%"
"Mar 25, 2019","57,072.45","56,566.58","57,452.52","56,467.44","-","1.14%"
"Mar 22, 2019","56,429.31","55,710.79","56,749.93","55,237.65","-","0.62%"
"Mar 21, 2019","56,083.38","56,876.31","56,933.00","55,611.67","-","-1.18%"
"Mar 20, 2019","56,755.22","57,719.60","57,728.60","56,755.22","-","-1.50%"
"Mar 19, 2019","57,620.53","57,770.35","57,860.43","57,455.20","-","-0.15%"
"Mar 18, 2019","57,709.08","57,471.62","57,726.22","57,429.84","-","0.66%"
"Mar 15, 2019","57,328.06","57,177.48","57,835.31","57,177.48","-","0.39%"
"Mar 14, 2019","57,105.75","57,094.47","57,388.87","56,973.47","-","0.01%"
"Mar 13, 2019","57,100.22","56,386.02","57,121.48","56,200.69","-","1.26%"
